timestamp,park,land,ride,is_open,wait_min
2026-08-09T20:19,hollywood-studios,Echo Lake,Indiana Jones™ Epic Stunt Spectacular!,True,0
2026-08-09T20:19,hollywood-studios,Echo Lake,Meet Olaf at Celebrity Spotlight,False,0
2026-08-09T20:19,hollywood-studios,Echo Lake,Star Tours – The Adventures Continue,True,5
2026-08-09T20:19,hollywood-studios,Echo Lake,Vacation Fun - An Original Animated Short with Mickey & Minnie,False,0
2026-08-09T20:19,hollywood-studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,True,35
2026-08-09T20:19,hollywood-studios,Pixar Plaza,Meet Edna Mode at the Edna Mode Experience,False,0
2026-08-09T20:19,hollywood-studios,Pixar Plaza,Toy Story Mania!,True,50
2026-08-09T20:19,hollywood-studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,True,10
2026-08-09T20:19,hollywood-studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run Single Rider,True,0
2026-08-09T20:19,hollywood-studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,True,25
2026-08-09T20:19,hollywood-studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance Single Rider,True,0
2026-08-09T20:19,hollywood-studios,Sunset Boulevard,Beauty and the Beast – Live on Stage,True,0
2026-08-09T20:19,hollywood-studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith Single Rider,True,0
2026-08-09T20:19,hollywood-studios,Sunset Boulevard,Rock ’n’ Roller Coaster Starring The Muppets,True,35
2026-08-09T20:19,hollywood-studios,Sunset Boulevard,The Twilight Zone™ Tower of Terror,True,20
2026-08-09T20:19,hollywood-studios,Toy Story Land,Alien Swirling Saucers,True,5
2026-08-09T20:19,hollywood-studios,Toy Story Land,Slinky Dog Dash,True,40
2026-08-09T20:19,animal-kingdom,Africa,Festival of the Lion King,True,0
2026-08-09T20:19,animal-kingdom,Africa,Gorilla Falls Exploration Trail,False,0
2026-08-09T20:19,animal-kingdom,Africa,Kilimanjaro Safaris,False,0
2026-08-09T20:19,animal-kingdom,Africa,Wildlife Express Train,False,0
2026-08-09T20:19,animal-kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain,False,0
2026-08-09T20:19,animal-kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain Single Rider,False,0
2026-08-09T20:19,animal-kingdom,Asia,Feathered Friends in Flight!,True,0
2026-08-09T20:19,animal-kingdom,Asia,Kali River Rapids,False,0
2026-08-09T20:19,animal-kingdom,Conservation Station,Animal Care at Conservation Station,False,0
2026-08-09T20:19,animal-kingdom,Conservation Station,Bluey's Wild World at Conservation Station,False,0
2026-08-09T20:19,animal-kingdom,Dinoland U.S.A,Finding Nemo: The Big Blue... and Beyond!,True,0
2026-08-09T20:19,animal-kingdom,Discovery Island,Discovery Island Trails,False,0
2026-08-09T20:19,animal-kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,False,0
2026-08-09T20:19,animal-kingdom,Discovery Island,Meet Moana at Character Landing,False,0
2026-08-09T20:19,animal-kingdom,Discovery Island,Tree of Life,True,0
2026-08-09T20:19,animal-kingdom,Discovery Island,Zootopia: Better Zoogether!,False,0
2026-08-09T20:19,animal-kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,False,0
2026-08-09T20:19,animal-kingdom,Pandora - The World of Avatar,Na'vi River Journey,False,0
2026-08-09T20:19,animal-kingdom,The Oasis,The Oasis Exhibits,False,0
2026-08-09T20:19,animal-kingdom,The Oasis,Wilderness Explorers,False,0
2026-08-09T20:19,universal-studios,DreamWorks Land,Trolls Trollercoaster,True,5
2026-08-09T20:19,universal-studios,Hollywood,E.T. Adventure™,True,35
2026-08-09T20:19,universal-studios,Illumination's Minion Land,Despicable Me Minion Mayhem™,True,20
2026-08-09T20:19,universal-studios,Illumination's Minion Land,Illumination's Villain-Con Minion Blast,True,5
2026-08-09T20:19,universal-studios,New York,Race Through New York Starring Jimmy Fallon™,True,15
2026-08-09T20:19,universal-studios,New York,Revenge of the Mummy™,True,25
2026-08-09T20:19,universal-studios,New York,Revenge of the Mummy™ Single Rider,True,0
2026-08-09T20:19,universal-studios,Production Central,TRANSFORMERS™ The Ride-3D,False,0
2026-08-09T20:19,universal-studios,San Francisco,Fast & Furious - Supercharged™,False,0
2026-08-09T20:19,universal-studios,San Francisco,Fast & Furious - Supercharged™ Single Rider,True,0
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Harry Potter and the Escape from Gringotts™,True,20
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Harry Potter and the Escape from Gringotts™ Single Rider,True,0
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Hogwarts Express™ - King's Cross Station,True,20
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Hogwarts™ Express - First Train,False,0
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Hogwarts™ Express - Last Train,False,0
2026-08-09T20:19,universal-studios,The Wizarding World of Harry Potter - Diagon Alley,Ollivanders™ Experience in Diagon Alley™,True,5
2026-08-09T20:19,universal-studios,World Expo,Kang & Kodos' Twirl 'n' Hurl,False,0
2026-08-09T20:19,universal-studios,World Expo,MEN IN BLACK™ Alien Attack!™,True,15
2026-08-09T20:19,universal-studios,World Expo,MEN IN BLACK™ Alien Attack!™ Single Rider,True,0
2026-08-09T20:19,universal-studios,World Expo,The Simpsons Ride™,True,30
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Camp Jurassic™,False,0
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Jurassic Park Discovery Center,False,0
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Jurassic Park River Adventure,False,0
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Jurassic World VelociCoaster,False,0
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Pteranodon Flyers,True,25
2026-08-09T20:19,islands-of-adventure,Jurassic Park,Skull Island: Reign of Kong™,False,0
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,Doctor Doom's Fearfall®,True,5
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,Doctor Doom's Fearfall® Single Rider,True,0
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,Storm Force Accelatron®,False,0
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,The Amazing Adventures of Spider-Man®,True,20
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,The Incredible Hulk Coaster®,True,10
2026-08-09T20:19,islands-of-adventure,Marvel Super Hero Island,The Incredible Hulk Coaster® Single Rider,True,0
2026-08-09T20:19,islands-of-adventure,Seuss Landing,Caro-Seuss-el™,True,5
2026-08-09T20:19,islands-of-adventure,Seuss Landing,If I Ran The Zoo™,False,0
2026-08-09T20:19,islands-of-adventure,Seuss Landing,"One Fish, Two Fish, Red Fish, Blue Fish™",True,5
2026-08-09T20:19,islands-of-adventure,Seuss Landing,The Cat in The Hat™,True,20
2026-08-09T20:19,islands-of-adventure,Seuss Landing,The High in the Sky Seuss Trolley Train Ride!™,True,5
2026-08-09T20:19,islands-of-adventure,The Wizarding World of Harry Potter - Hogsmeade,Flight of the Hippogriff™,True,5
2026-08-09T20:19,islands-of-adventure,The Wizarding World of Harry Potter - Hogsmeade,Hagrid's Magical Creatures Motorbike Adventure™,True,60
2026-08-09T20:19,islands-of-adventure,The Wizarding World of Harry Potter - Hogsmeade,Harry Potter and the Forbidden Journey™,True,10
